Station Number,North Longitude Degrees ,North Latitude Minutes,West Longitude Degrees,West Longitude Minutes ,Comments
657,38, 9.1',-121,41.3',
653,38, 6.3',-121,43.2',
649,38, 3.6',-121,48.0',
2,38, 3.8',-121, 51.1',
3,38, 3.1',-121, 52.8',
4,38, 2.9',-121, 56.1',
5,38, 3.6',-121, 58.8',
6,38, 3.9',-122, 2.1',
7,38, 2.9',-122,5.8',
8,38, 1.8',-122,9.1',
9,38, 3.4',-122,11.1',
10,38, 3.6',-122,12.5',
11,38,  3.6',-122,16.0',
12,38, 3.1',-122,18.7',
13,38, 1.7',-122,22.2',
14,38, 0.4',-122,24.3',
15,37, 58.4',-122,26.2',
16,37, 55.0',-122,26.8',
17,37, 52.7',-122,25.3',
18,37, 50.8',-122,25.3',
20,37, 49.2',-122, 23.6',
21,37, 47.3',-122,21.5',
22,37, 45.9',-122, 21.5',
23,37, 43.7',-122,20.2',
24,37, 41.9',-122,20.3',
25,37, 40.2',-122,19.5',
26,37, 38.2',-122,18.8',
27,37, 37.1',-122,17.5',
28,37, 36.1',-122,16.2',
29,37, 34.8',-122,14.7',
29.5,37, 34.1',-122,13.1',
30,37, 33.3',-122,11.4',
31,37, 31.7',-122,9.5',
32,37, 31.1',-122, 8.0',
33,37,  30.5',-122,7.3',
34,37, 29.7',-122,5.9',location 2/2/2016 and after
34,37, 29.7',-122,5.6',location 1/21/2016 and earlier
35,37,  28.8',-122,4.7',
36,37,  28.3',-122,4.0',
