Date MM/DD/YYYY,Station Number,Depth [meters],Discrete Chlorophyll [mg/m3],Chlorophyll a/a+PHA,Fluorescence [volts],Calculated Chlorophyll [mg/m3],Discrete Oxygen [mg/L],Oxygen Electrode Output [volts],Oxygen Saturation,Calculated Oxygen [mg/L],Discrete SPM [mg/L],Optical Backscatter [volts],Calculated SPM [mg/L],Measured Extinction Coefficient [per meter],Salinity [psu],Temperature [°C],Nitrite [µM],Nitrate + Nitrite [µM],Ammonium [µM],Phosphate [µM],Silicate [µM],Coordinates
2014-01-14,34.0,1,,,0.56,6.7,,8.2,87.0,8.1,,0.9,30,,27.62,10.79,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-14,34.0,2,6.6,0.78,0.56,6.7,,8.1,87.0,8,31.1,1,32,,27.68,10.77,3.12,92.84,7.47,8.23,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-14,34.0,3,,,0.54,6.4,,8.1,86.0,8,,1.18,36,,27.73,10.74,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-14,34.0,4,,,0.53,6.3,,8,86.0,8,,1.25,37,,27.76,10.73,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-14,34.0,5,,,0.52,6.2,,8,86.0,8,,1.33,39,,27.9,10.74,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-14,34.0,6,6.9,0.78,0.52,6.2,,8,86.0,8,39.9,1.36,40,,27.99,10.82,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-14,33.0,2,,,0.45,5.4,,8.3,91.0,8.2,,0.91,30,,28.97,11.4,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,3,,,0.44,5.2,,8.3,91.0,8.2,,0.99,32,,29.06,11.43,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,4,,,0.42,5,,8.3,91.0,8.2,,1.04,33,,29.11,11.43,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,5,,,0.42,5,,8.3,91.0,8.2,,1.09,34,,29.15,11.43,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,6,,,0.41,5,,8.3,91.0,8.2,,1.1,34,,29.19,11.43,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,7,,,0.41,5,,8.3,90.0,8.2,,1.09,34,,29.26,11.39,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,8,,,0.41,4.9,,8.3,90.0,8.2,,1.12,35,,29.31,11.33,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,9,,,0.4,4.9,,8.3,90.0,8.2,,1.17,36,,29.37,11.29,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,10,,,0.4,4.8,,8.3,90.0,8.2,,1.2,36,,29.4,11.28,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,11,,,0.4,4.8,,8.3,90.0,8.2,,1.24,37,,29.42,11.27,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,33.0,12,,,0.4,4.8,,8.3,90.0,8.2,,1.2,36,,29.46,11.28,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-14,32.0,1,,,0.4,4.9,,8.3,90.0,8.2,,0.7,25,,29.5,11.4,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,2,4.7,0.76,0.4,4.9,8.2,8.3,90.0,8.2,29.6,0.75,26,,29.59,11.37,2.75,67.97,7.3,7.19,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,3,,,0.4,4.8,,8.3,90.0,8.2,,0.82,28,,29.65,11.38,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,4,,,0.39,4.8,,8.2,90.0,8.2,,0.92,30,,29.7,11.42,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,5,,,0.39,4.7,,8.2,90.0,8.2,,0.95,31,,29.71,11.43,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,6,,,0.39,4.7,,8.2,90.0,8.2,,0.93,30,,29.74,11.43,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,7,,,0.39,4.7,,8.2,90.0,8.2,,1,32,,29.79,11.43,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,8,,,0.39,4.7,,8.2,90.0,8.1,,1.26,38,,29.81,11.43,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,9,,,0.4,4.8,,8.2,90.0,8.1,,1.38,40,,29.82,11.43,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,10,,,0.41,4.9,,8.2,90.0,8.1,,1.51,43,,29.92,11.41,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,32.0,11,4.5,0.68,0.41,4.9,,8.2,90.0,8.1,61.2,2.38,62,,29.94,11.4,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-14,31.0,2,,,0.33,4,,8.3,91.0,8.2,,0.56,22,,30.01,11.31,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,3,,,0.32,3.9,,8.3,91.0,8.2,,0.61,23,,30.07,11.34,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,4,,,0.32,3.9,,8.3,91.0,8.2,,0.69,25,,30.14,11.41,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,5,,,0.32,3.9,,8.3,91.0,8.2,,0.88,29,,30.17,11.43,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,6,,,0.32,3.9,,8.3,91.0,8.2,,0.99,32,,30.18,11.43,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,7,,,0.32,3.9,,8.3,91.0,8.2,,0.99,32,,30.19,11.42,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,8,,,0.31,3.8,,8.3,91.0,8.2,,0.98,31,,30.2,11.41,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,9,,,0.31,3.8,,8.2,91.0,8.2,,1,32,,30.23,11.4,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,10,,,0.32,3.9,,8.2,90.0,8.2,,1.17,36,,30.27,11.37,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,11,,,0.33,4.1,,8.2,90.0,8.1,,1.53,44,,30.28,11.37,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,31.0,12,,,0.33,4.1,,8.2,90.0,8.1,,1.94,53,,30.28,11.37,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-14,30.0,1,,,0.27,3.4,,8.1,88.0,8,,0.51,21,,30.42,11.11,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,2,2.9,0.77,0.27,3.4,8,8.1,88.0,8,18.2,0.5,21,,30.43,11.11,2.73,51.54,10.01,6.32,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,3,,,0.27,3.3,,8.1,88.0,8,,0.52,21,,30.43,11.12,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,4,,,0.27,3.3,,8.1,88.0,8,,0.55,22,,30.47,11.15,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-14,30.0,5,,,0.27,3.3,,8.1,88.0,8,,0.63,24,,30.47,11.14,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
